eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85152039944,10.1038/s41598-023-30826-2,,37031280.0,Machine learning based prediction for oncologic outcomes of renal cell carcinoma after surgery using Korean Renal Cell Carcinoma (KORCC) database,ar,Article,Kim J.K.,60276990;60211915;60211848;60105250;60098516;60068716;60021119;60017234;60000656;129503374,"The Catholic University of Korea Seoul St. Mary's Hospital;Korea University Anam Hospital;Kyungpook National University Chilgok Hospital;Chungbuk National University Hospital;Seoul National University Bundang Hospital;National Cancer Center, Gyeonggi;Seoul National University Hospital;Chonnam National University Medical School;Seoul National University College of Medicine;The IMC Lnc.",Seoul;Seoul;Daegu;Cheongju;Seongnam;Goyang;Seoul;Gwangju;Seoul;Daegu,South Korea;South Korea;South Korea;South Korea;South Korea;South Korea;South Korea;South Korea;South Korea;South Korea,16.0,"Kim, Jung Kwon;Lee, Sangchul;Hong, Sung Kyu;Kwak, Cheol;Jeong, Chang Wook;Kang, Seok Ho;Hong, Sung Hoo;Kim, Yong June;Chung, Jinsoo;Hwang, Eu Chang;Kwon, Tae Gyun;Byun, Seok Soo;Jung, Yu Jin;Lim, Junghyun;Kim, Jiyeon;Oh, Hyeju",57222879361;57202327303;57967074500;7005639032;8879131000;7405684686;57764610600;57887146700;16678454900;58151429400;57684039100;7004818488;58066064500;58175581000;58176280100;58176280200,60098516-60000656;60098516-60000656;60098516-60000656;60000656-60021119;60000656-60021119;60211915;60276990;60105250;60068716;60017234;60211848;60098516-60000656;60000656;129503374;129503374;129503374,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,5778,,"We developed a novel prediction model for recurrence and survival in patients with localized renal cell carcinoma (RCC) after surgery and a novel statistical method of machine learning (ML) to improve accuracy in predicting outcomes using a large Asian nationwide dataset, updated KOrean Renal Cell Carcinoma (KORCC) database that covered data for a total of 10,068 patients who had received surgery for RCC. After data pre-processing, feature selection was performed with an elastic net. Nine variables for recurrence and 13 variables for survival were extracted from 206 variables. Synthetic minority oversampling technique (SMOTE) was used for the training data set to solve the imbalance problem. We applied the most of existing ML algorithms introduced so far to evaluate the performance. We also performed subgroup analysis according to the histologic type. Diagnostic performances of all prediction models achieved high accuracy (range, 0.77–0.94) and F1-score (range, 0.77–0.97) in all tested metrics. In an external validation set, high accuracy and F1-score were well maintained in both recurrence and survival. In subgroup analysis of both clear and non-clear cell type RCC group, we also found a good prediction performance.",,0,1,repositoryvor,Green,,undefined,
2-s2.0-85151993810,10.1038/s41598-023-32484-w,,37029155.0,Using machine learning to predict student retention from socio-demographic characteristics and app-based engagement metrics,ar,Article,Matz S.C.,60030162;60028717;60027786;129450338,Columbia University;Ludwig-Maximilians-Universität München;University of St. Gallen;Ready Education,New York;Munich;St Gallen;Montreal,United States;Germany;Switzerland;Canada,5.0,"Matz, Sandra C.;Bukow, Christina S.;Peters, Heinrich;Deacons, Christine;Stachl, Clemens",56825496400;58175929600;57219747132;58176164000;57193010348,60030162;60028717;60030162;129450338;60027786,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,5705,,"Student attrition poses a major challenge to academic institutions, funding bodies and students. With the rise of Big Data and predictive analytics, a growing body of work in higher education research has demonstrated the feasibility of predicting student dropout from readily available macro-level (e.g., socio-demographics or early performance metrics) and micro-level data (e.g., logins to learning management systems). Yet, the existing work has largely overlooked a critical meso-level element of student success known to drive retention: students’ experience at university and their social embeddedness within their cohort. In partnership with a mobile application that facilitates communication between students and universities, we collected both (1) institutional macro-level data and (2) behavioral micro and meso-level engagement data (e.g., the quantity and quality of interactions with university services and events as well as with other students) to predict dropout after the first semester. Analyzing the records of 50,095 students from four US universities and community colleges, we demonstrate that the combined macro and meso-level data can predict dropout with high levels of predictive performance (average AUC across linear and non-linear models = 78%; max AUC = 88%). Behavioral engagement variables representing students’ experience at university (e.g., network centrality, app engagement, event ratings) were found to add incremental predictive power beyond institutional variables (e.g., GPA or ethnicity). Finally, we highlight the generalizability of our results by showing that models trained on one university can predict retention at another university with reasonably high levels of predictive performance.",,0,1,repositoryvor,Green,,undefined,
2-s2.0-85151992995,10.1038/s41467-023-37572-z,,37031187.0,Improving the generalizability of protein-ligand binding predictions with AI-Bind,ar,Article,Chatterjee A.,60121653;60030961;60028628;60010869;60009563;60002746,Department of Computer Science and Engineering;Santa Fe Institute;Northeastern University;Channing Division of Network Medicine;Central European University;Harvard Medical School,San Diego;Santa Fe;Boston;Boston;Vienna;Boston,United States;United States;United States;United States;Austria;United States,10.0,"Chatterjee, Ayan;Walters, Robin;Shafi, Zohair;Ahmed, Omair Shafi;Sebek, Michael;Gysi, Deisy;Yu, Rose;Eliassi-Rad, Tina;Barabási, Albert László;Menichetti, Giulia",57220880580;25633269900;57223770508;57220604589;57695587100;56607225500;57694570300;6507223439;7006567633;56208747600,60028628;60028628;60028628;60028628;60028628;60028628-60002746;60121653;60028628-60030961;60028628-60009563;60028628-60010869,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,1989,,"Identifying novel drug-target interactions is a critical and rate-limiting step in drug discovery. While deep learning models have been proposed to accelerate the identification process, here we show that state-of-the-art models fail to generalize to novel (i.e., never-before-seen) structures. We unveil the mechanisms responsible for this shortcoming, demonstrating how models rely on shortcuts that leverage the topology of the protein-ligand bipartite network, rather than learning the node features. Here we introduce AI-Bind, a pipeline that combines network-based sampling strategies with unsupervised pre-training to improve binding predictions for novel proteins and ligands. We validate AI-Bind predictions via docking simulations and comparison with recent experimental evidence, and step up the process of interpreting machine learning prediction of protein-ligand binding by identifying potential active binding sites on the amino acid sequence. AI-Bind is a high-throughput approach to identify drug-target combinations with the potential of becoming a powerful tool in drug discovery.",,0,1,repositoryvor,Green,NIH,1P01HL132825,National Institutes of Health
2-s2.0-85151979635,10.1038/s41467-023-37748-7,,37031253.0,Trimming the genomic fat: minimising and re-functionalising genomes using synthetic biology,re,Review,Xu X.,60019544;60015150;60015138;60005517,Macquarie University;Imperial College London;University of Nottingham;Wellcome Sanger Institute,Sydney;London;Nottingham;Hinxton,Australia;United Kingdom;United Kingdom;United Kingdom,7.0,"Xu, Xin;Meier, Felix;Blount, Benjamin A.;Pretorius, Isak S.;Ellis, Tom;Paulsen, Ian T.;Williams, Thomas C.",57208613967;58176138200;54965773400;7005745696;7202590015;7006799662;56391153300,60019544;60019544;60015138;60019544;60015150-60005517;60019544;60019544,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,1984,,"Naturally evolved organisms typically have large genomes that enable their survival and growth under various conditions. However, the complexity of genomes often precludes our complete understanding of them, and limits the success of biotechnological designs. In contrast, minimal genomes have reduced complexity and therefore improved engineerability, increased biosynthetic capacity through the removal of unnecessary genetic elements, and less recalcitrance to complete characterisation. Here, we review the past and current genome minimisation and re-functionalisation efforts, with an emphasis on the latest advances facilitated by synthetic genomics, and provide a critical appraisal of their potential for industrial applications.",,0,1,repositoryvor,Green,ARC,DP200100717,University of Nottingham
2-s2.0-85151881163,10.1038/s41467-023-37668-6,,37024501.0,Automated optimisation of solubility and conformational stability of antibodies and proteins,ar,Article,Rosace A.,60032942;60031101;60022134;60013332;60006179;60002016,Universitat Pompeu Fabra Barcelona;University of Cambridge;Aalborg University;Faculty of Health and Medical Sciences;Novo Nordisk A/S;IRB Barcelona - Institute for Research in Biomedicine,Barcelona;Cambridge;Aalborg;Copenhagen;Bagsvard;Barcelona,Spain;United Kingdom;Denmark;Denmark;Denmark;Spain,8.0,"Rosace, Angelo;Bennett, Anja;Oeller, Marc;Mortensen, Mie M.;Sakhnini, Laila;Lorenzen, Nikolai;Poulsen, Christian;Sormanni, Pietro",57787464300;57788059300;57325630900;57787464400;57191881182;50961486600;58003634600;55159736800,60031101-60032942-60002016;60031101-60006179-60013332;60031101;60006179-60022134;60031101-60006179;60006179;60006179;60031101,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,1937,,"Biologics, such as antibodies and enzymes, are crucial in research, biotechnology, diagnostics, and therapeutics. Often, biologics with suitable functionality are discovered, but their development is impeded by developability issues. Stability and solubility are key biophysical traits underpinning developability potential, as they determine aggregation, correlate with production yield and poly-specificity, and are essential to access parenteral and oral delivery. While advances for the optimisation of individual traits have been made, the co-optimization of multiple traits remains highly problematic and time-consuming, as mutations that improve one property often negatively impact others. In this work, we introduce a fully automated computational strategy for the simultaneous optimisation of conformational stability and solubility, which we experimentally validate on six antibodies, including two approved therapeutics. Our results on 42 designs demonstrate that the computational procedure is highly effective at improving developability potential, while not affecting antigen-binding. We make the method available as a webserver at www-cohsoftware.ch.cam.ac.uk.",,0,1,repositoryam,Green,IFD,MBAG/624 RG89305,AstraZeneca
2-s2.0-85151868895,10.1038/s41598-023-32398-7,,37024576.0,Prediction of anti-vascular endothelial growth factor agent-specific treatment outcomes in neovascular age-related macular degeneration using a generative adversarial network,ar,Article,Moon S.,60068688;128843570;126834015;122833231;107044846,Gwangju Institute of Science and Technology;INGRADIENT Inc.;Kim's Eye Hospital;MODULABS;Kim's Eye Hospital,Gwangju;Seoul;Seoul;Seoul;Seoul,South Korea;South Korea;South Korea;South Korea;South Korea,7.0,"Moon, Sehwan;Lee, Youngsuk;Hwang, Jeongyoung;Kim, Chul Gu;Kim, Jong Woo;Yoon, Won Tae;Kim, Jae Hui",57226401776;58173830700;58173186000;57205883964;57207439425;57224454639;57225153988,60068688-122833231;128843570-122833231;60068688-122833231;107044846;107044846;107044846-126834015;107044846-126834015,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,5639,,"To develop an artificial intelligence (AI) model that predicts anti-vascular endothelial growth factor (VEGF) agent-specific anatomical treatment outcomes in neovascular age-related macular degeneration (AMD), thereby assisting clinicians in selecting the most suitable anti-VEGF agent for each patient. This retrospective study included patients diagnosed with neovascular AMD who received three loading injections of either ranibizumab or aflibercept. Training was performed using optical coherence tomography (OCT) images with an attention generative adversarial network (GAN) model. To test the performance of the AI model, the sensitivity and specificity to predict the presence of retinal fluid after treatment were calculated for the AI model, an experienced (Examiner 1), and a less experienced (Examiner 2) human examiners. A total of 1684 OCT images from 842 patients (419 treated with ranibizumab and 423 treated with aflibercept) were used as the training set. Testing was performed using images from 98 patients. In patients treated with ranibizumab, the sensitivity and specificity, respectively, were 0.615 and 0.667 for the AI model, 0.385 and 0.861 for Examiner 1, and 0.231 and 0.806 for Examiner 2. In patients treated with aflibercept, the sensitivity and specificity, respectively, were 0.857 and 0.881 for the AI model, 0.429 and 0.976 for Examiner 1, and 0.429 and 0.857 for Examiner 2. In 18.5% of cases, the fluid status of synthetic posttreatment images differed between ranibizumab and aflibercept. The AI model using GAN might predict anti-VEGF agent-specific short-term treatment outcomes with relatively higher sensitivity than human examiners. Additionally, there was a difference in the efficacy in fluid resolution between the anti-VEGF agents. These results suggest the potential of AI in personalized medicine for patients with neovascular AMD.",,0,1,repositoryam,Green,,undefined,
2-s2.0-85151858850,10.1186/s12911-023-02159-7,,37024922.0,Explainable prediction of daily hospitalizations for cerebrovascular disease using stacked ensemble learning,ar,Article,Lu X.,60005465,University of Electronic Science and Technology of China,Chengdu,China,2.0,"Lu, Xiaoya;Qiu, Hang",58172756100;23091925700,60005465;60005465,2023-12-01,December 2023,BMC Medical Informatics and Decision Making,,23602.0,14726947,Journal,23,1,59,,"Background: With the prevalence of cerebrovascular disease (CD) and the increasing strain on healthcare resources, forecasting the healthcare demands of cerebrovascular patients has significant implications for optimizing medical resources. Methods: In this study, a stacking ensemble model comprised of four base learners (ridge regression, random forest, gradient boosting decision tree, and artificial neural network) and a meta learner (elastic net) was proposed for predicting the daily number of hospital admissions (HAs) for CD using the historical HAs data, air quality data, and meteorological data in Chengdu, China from 2015 to 2018. To solve the label imbalance problem, a re-weighting method based on label distribution smoothing was integrated into the meta learner. We trained the model using the data from 2015 to 2017 and evaluated its predictive ability using the data in 2018 based on four metrics, including mean absolute error (MAE), root mean square error (RMSE), mean absolute percentage error (MAPE), and coefficient of determination (R2). In addition, the SHapley Additive exPlanations (SHAP) framework was applied to provide explanation for the prediction of our stacking model. Results: Our proposed model outperformed all the base learners and long short-term memory (LSTM) on two datasets. Particularly, compared with the optimal results obtained by individual models, the MAE, RMSE, and MAPE of the stacking model decreased by 13.9%, 12.7%, and 5.8%, respectively, and the R2 improved by 6.8% on CD dataset. The model explanation demonstrated that environmental features played a role in further improving the model performance and identified that high temperature and high concentrations of gaseous air pollutants might strongly associate with an increased risk of CD. Conclusions: Our stacking model considering environmental exposure is efficient in predicting daily HAs for CD and has practical value in early warning and healthcare resource allocation.",Cerebrovascular disease | Environmental exposure | Hospital admissions | SHAP value | Stacking ensemble model,0,1,repositoryam,Green,NSFC,71661167005,National Natural Science Foundation of China
2-s2.0-85151830849,10.1038/s41467-023-37627-1,,37024483.0,A roadmap to establish a comprehensive platform for sustainable manufacturing of natural products in yeast,ar,Article,Naseri G.,60120335;60000762,Max Planck Unit for the Science of Pathogens;Humboldt-Universität zu Berlin,Berlin;Berlin,Germany;Germany,1.0,"Naseri, Gita",57195683910,60120335-60000762,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,1916,,"Secondary natural products (NPs) are a rich source for drug discovery. However, the low abundance of NPs makes their extraction from nature inefficient, while chemical synthesis is challenging and unsustainable. Saccharomyces cerevisiae and Pichia pastoris are excellent manufacturing systems for the production of NPs. This Perspective discusses a comprehensive platform for sustainable production of NPs in the two yeasts through system-associated optimization at four levels: genetics, temporal controllers, productivity screening, and scalability. Additionally, it is pointed out critical metabolic building blocks in NP bioengineering can be identified through connecting multilevel data of the optimized system using deep learning.",,0,1,repositoryvor,Green,MPG,undefined,Max-Planck-Gesellschaft
2-s2.0-85151804783,10.1186/s12859-023-05246-8,,37016283.0,ICOR: improving codon optimization with recurrent neural networks,ar,Article,Jain R.,60019674;60002746;113998654,Boston University;Harvard Medical School;Lattice Automation Inc.,Boston;Boston;Boston,United States;United States;United States,5.0,"Jain, Rishab;Jain, Aditya;Mauro, Elizabeth;LeShane, Kevin;Densmore, Douglas",57661257900;57376408100;57323558300;56678082300;6506652316,113998654;60002746;113998654;113998654;113998654-60019674,2023-12-01,December 2023,BMC Bioinformatics,,17929.0,14712105,Journal,24,1,132,,"Background: In protein sequences—as there are 61 sense codons but only 20 standard amino acids—most amino acids are encoded by more than one codon. Although such synonymous codons do not alter the encoded amino acid sequence, their selection can dramatically affect the expression of the resulting protein. Codon optimization of synthetic DNA sequences is important for heterologous expression. However, existing solutions are primarily based on choosing high-frequency codons only, neglecting the important effects of rare codons. In this paper, we propose a novel recurrent-neural-network based codon optimization tool, ICOR, that aims to learn codon usage bias on a genomic dataset of Escherichia coli. We compile a dataset of over 7,000 non-redundant, high-expression, robust genes which are used for deep learning. The model uses a bidirectional long short-term memory-based architecture, allowing for the sequential context of codon usage in genes to be learned. Our tool can predict synonymous codons for synthetic genes toward optimal expression in Escherichia coli. Results: We demonstrate that sequential context achieved via RNN may yield codon selection that is more similar to the host genome. Based on computational metrics that predict protein expression, ICOR theoretically optimizes protein expression more than frequency-based approaches. ICOR is evaluated on 1,481 Escherichia coli genes as well as a benchmark set of 40 select DNA sequences whose heterologous expression has been previously characterized. ICOR’s performance is measured across five metrics: the Codon Adaptation Index, GC-content, negative repeat elements, negative cis-regulatory elements, and codon frequency distribution. Conclusions: The results, based on in silico metrics, indicate that ICOR codon optimization is theoretically more effective in enhancing recombinant expression of proteins over other established codon optimization techniques. Our tool is provided as an open-source software package that includes the benchmark set of sequences used in this study.",Codon optimization | Genetic design | Machine learning | Synthetic biology,0,1,,,,undefined,
2-s2.0-85151798187,10.1038/s41598-023-31846-8,,37015976.0,Using machine learning to estimate the incidence rate of intimate partner violence,ar,Article,Chen Z.,60033100;60017161,Nanjing University;National University of Singapore,Nanjing;Singapore City,China;Singapore,7.0,"Chen, Zhuo;Ma, Wen;Li, Ying;Guo, Wei;Wang, Senhu;Zhang, Wansu;Chen, Yunsong",57771211300;57222227915;58172600700;58172359900;57264879500;58172695400;56999854100,60033100;60033100;60033100;60033100;60017161;60033100;60033100,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,5533,,"It is difficult to accurately estimate the incidence rate of intimate partner violence (IPV) using traditional social survey methods because IPV victims are often reluctant to disclose their experiences, leading to an underestimation of the incidence rate. To address this issue, we applied machine learning algorithms to predict the incidence rate of IPV in China based on data from the Third Wave Survey on the Social Status of Women in China (TWSSSCW 2010). Specifically, we examined five unbalanced sample-processing methods and six machine learning algorithms, choosing the random under-sampling ensemble method and the random forest algorithm to impute the missing data. Analysis of the complete data showed that the incidence rates of physical violence, verbal violence, and cold violence were 7.10%, 13.74%, and 21.35%, respectively, which were higher than the incidence rates in the original dataset (4.05%, 11.21%, and 17.95%, respectively). The robustness of our findings was further confirmed by analysis using different training sets. Overall, this study demonstrates that better tools need to be developed to accurately estimate the incidence rates of IPV. It also serves as a useful guide for future research that imputes missing data using machine learning.",,0,1,repositoryvor,Green,NUS,FY2022-FRC2-001,National University of Singapore
2-s2.0-85151789647,10.1186/s12859-023-05247-7,,37016297.0,A two-stage hybrid biomarker selection method based on ensemble filter and binary differential evolution incorporating binary African vultures optimization,ar,Article,Li W.,60118877;60031863,"College of Computer Science and Engineering, Northeastern University;Northeastern University",Shenyang;Shenyang,China;China,4.0,"Li, Wei;Chi, Yuhuan;Yu, Kun;Xie, Weidong",57201880260;57465927700;57211443820;57212241562,60031863;60118877;60031863;60118877,2023-12-01,December 2023,BMC Bioinformatics,,17929.0,14712105,Journal,24,1,130,,"Background: In the field of genomics and personalized medicine, it is a key issue to find biomarkers directly related to the diagnosis of specific diseases from high-throughput gene microarray data. Feature selection technology can discover biomarkers with disease classification information. Results: We use support vector machines as classifiers and use the five-fold cross-validation average classification accuracy, recall, precision and F1 score as evaluation metrics to evaluate the identified biomarkers. Experimental results show classification accuracy above 0.93, recall above 0.92, precision above 0.91, and F1 score above 0.94 on eight microarray datasets. Method: This paper proposes a two-stage hybrid biomarker selection method based on ensemble filter and binary differential evolution incorporating binary African vultures optimization (EF-BDBA), which can effectively reduce the dimension of microarray data and obtain optimal biomarkers. In the first stage, we propose an ensemble filter feature selection method. The method combines an improved fast correlation-based filter algorithm with Fisher score. obviously redundant and irrelevant features can be filtered out to initially reduce the dimensionality of the microarray data. In the second stage, the optimal feature subset is selected using an improved binary differential evolution incorporating an improved binary African vultures optimization algorithm. The African vultures optimization algorithm has excellent global optimization ability. It has not been systematically applied to feature selection problems, especially for gene microarray data. We combine it with a differential evolution algorithm to improve population diversity. Conclusion: Compared with traditional feature selection methods and advanced hybrid methods, the proposed method achieves higher classification accuracy and identifies excellent biomarkers while retaining fewer features. The experimental results demonstrate the effectiveness and advancement of our proposed algorithmic model.",African vultures optimization | Binary differential evolution | Ensemble filter method | Feature selection | Microarray data,0,1,repositoryvor,Green,NKRDPC,2022JH2/101300075,Natural Science Foundation of Liaoning Province
2-s2.0-85151788765,10.1038/s41467-023-37596-5,,37019930.0,Systematic comparison of tools used for m<sup>6</sup>A mapping from nanopore direct RNA sequencing,ar,Article,Zhong Z.D.,60117365;60103563;60021182,Guangzhou Institute of Biomedicine and Health;The University of Hong Kong Li Ka Shing Faculty of Medicine;Sun Yat-Sen University,Guangzhou;;Guangzhou,China;Hong Kong;China,12.0,"Zhong, Zhen Dong;Xie, Ying Yuan;Chen, Hong Xuan;Lan, Ye Lin;Liu, Xue Hong;Ji, Jing Yun;Wu, Fu;Jin, Lingmei;Chen, Jiekai;Mak, Daniel W.;Zhang, Zhang;Luo, Guan Zheng",58131062600;57283788400;57225040196;57993053300;57216320247;58172672600;58172672700;57222257922;58172387300;58033484600;58033658900;26023350100,60021182;60021182;60021182;60021182;60021182;60021182;60021182;60117365;60117365;60103563;60021182;60021182,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,1906,,"N6-methyladenosine (m6A) has been increasingly recognized as a new and important regulator of gene expression. To date, transcriptome-wide m6A detection primarily relies on well-established methods using next-generation sequencing (NGS) platform. However, direct RNA sequencing (DRS) using the Oxford Nanopore Technologies (ONT) platform has recently emerged as a promising alternative method to study m6A. While multiple computational tools are being developed to facilitate the direct detection of nucleotide modifications, little is known about the capabilities and limitations of these tools. Here, we systematically compare ten tools used for mapping m6A from ONT DRS data. We find that most tools present a trade-off between precision and recall, and integrating results from multiple tools greatly improve performance. Using a negative control could improve precision by subtracting certain intrinsic bias. We also observed variation in detection capabilities and quantitative information among motifs, and identified sequencing depth and m6A stoichiometry as potential factors affecting performance. Our study provides insight into the computational tools currently used for mapping m6A based on ONT DRS data and highlights the potential for further improving these tools, which may serve as the basis for future research.",,0,1,repositoryvor,Green,NSFC,32100461,National Natural Science Foundation of China
2-s2.0-85151784576,10.1186/s12859-023-05263-7,,37016308.0,Prediction of hot spots in protein–DNA binding interfaces based on discrete wavelet transform and wavelet packet transform,ar,Article,Sun Y.,60015487;60001455,Anhui Agricultural University;Anhui University,Hefei;Hefei,China;China,5.0,"Sun, Yu;Wu, Hongwei;Xu, Zhengrong;Yue, Zhenyu;Li, Ke",58172508700;58172460200;58172364000;56912831900;36466686900,60015487;60015487;60015487;60015487;60015487-60001455,2023-12-01,December 2023,BMC Bioinformatics,,17929.0,14712105,Journal,24,1,129,,"Background: Identification of hot spots in protein–DNA binding interfaces is extremely important for understanding the underlying mechanisms of protein–DNA interactions and drug design. Since experimental methods for identifying hot spots are time-consuming and expensive, and most of the existing computational methods are based on traditional protein–DNA features to predict hot spots, unable to make full use of the effective information in the features. Results: In this work, a method named WTL-PDH is proposed for hot spots prediction. To deal with the unbalanced dataset, we used the Synthetic Minority Over-sampling Technique to generate minority class samples to achieve the balance of dataset. First, we extracted the solvent accessible surface area features and structural features, and then processed the traditional features using discrete wavelet transform and wavelet packet transform to extract the wavelet energy information and wavelet entropy information, and obtained a total of 175 dimensional features. In order to obtain the best feature subset, we systematically evaluate these features in various feature selection strategies. Finally, light gradient boosting machine (LightGBM) was used to establish the model. Conclusions: Our method achieved good results on independent test set with AUC, MCC and F1 scores of 0.838, 0.533 and 0.750, respectively. WTL-PDH can achieve generally better performance in predicting hot spots when compared with state-of-the-art methods. The dataset and source code are available at https://github.com/chase2555/WTL-PDH.",Discrete wavelet transform | Hot spot | Light gradient boosting machine | Protein–DNA complexes | Synthetic minority over-sampling technique | Wavelet packet transform,0,1,publisherfullgold,Gold,NSFC,yj2020-74,National Natural Science Foundation of China
2-s2.0-85151775794,10.1038/s41598-023-31542-7,,37015978.0,"Explanatory predictive model for COVID-19 severity risk employing machine learning, shapley addition, and LIME",ar,Article,Laatifi M.,60192438;60078009;60000784;129444822;125084044,Laboratoire de Immunologie et Biodiversité;Faculté de Médecine et de Pharmacie de Rabat;Faculté des Sciences Rabat;Public Health International Consultant;University of Health Sciences,Casablanca;Rabat;Rabat;Rabat;Rabat,Morocco;Morocco;Morocco;Morocco;Morocco,8.0,"Laatifi, Mariam;Douzi, Samira;Ezzine, Hind;Asry, Chadia El;Naya, Abdellah;Bouklouze, Abdelaziz;Zaid, Younes;Naciri, Mariam",57405454700;57195534106;57218559404;58172688100;23051886200;8900080600;55325308800;7006479189,60000784;60078009;60000784-129444822;60000784;60192438;60078009;60000784-60192438-125084044;60000784,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,5481,,"The rapid spread of SARS-CoV-2 threatens global public health and impedes the operation of healthcare systems. Several studies have been conducted to confirm SARS-CoV-2 infection and examine its risk factors. To produce more effective treatment options and vaccines, it is still necessary to investigate biomarkers and immune responses in order to gain a deeper understanding of disease pathophysiology. This study aims to determine how cytokines influence the severity of SARS-CoV-2 infection. We measured the plasma levels of 48 cytokines in the blood of 87 participants in the COVID-19 study. Several Classifiers were trained and evaluated using Machine Learning and Deep Learning to complete missing data, generate synthetic data, and fill in any gaps. To examine the relationship between cytokine storm and COVID-19 severity in patients, the Shapley additive explanation (SHAP) and the LIME (Local Interpretable Model-agnostic Explanations) model were applied. Individuals with severe SARS-CoV-2 infection had elevated plasma levels of VEGF-A, MIP-1b, and IL-17. RANTES and TNF were associated with healthy individuals, whereas IL-27, IL-9, IL-12p40, and MCP-3 were associated with non-Severity. These findings suggest that these cytokines may promote the development of novel preventive and therapeutic pathways for disease management. In this study, the use of artificial intelligence is intended to support clinical diagnoses of patients to determine how each cytokine may be responsible for the severity of COVID-19, which could lead to the identification of several cytokines that could aid in treatment decision-making and vaccine development.",,0,1,repositoryvor,Green,,undefined,
2-s2.0-85151671697,10.1186/s40537-023-00714-7,,,Predicting oral cancer risk in patients with oral leukoplakia and oral lichenoid mucositis using machine learning,ar,Article,Adeoye J.,60103563;60033020;60019870;60006541;60006448,The University of Hong Kong Li Ka Shing Faculty of Medicine;Queen Mary Hospital Hong Kong;James Cook University;The University of Hong Kong;University of Lagos,;;Townsville;Pokfulam;Lagos,Hong Kong;Hong Kong;Australia;Hong Kong;Nigeria,10.0,"Adeoye, John;Koohi-Moghadam, Mohamad;Choi, Siu Wai;Zheng, Li Wu;Lo, Anthony Wing Ip;Tsang, Raymond King Yin;Chow, Velda Ling Yu;Akinshipo, Abdulwarith;Thomson, Peter;Su, Yu Xiong",57210591408;57193122124;56194443000;57696118900;58147464900;58171827100;36807611300;55220027900;7102217084;14828437500,60006541;60006541;60103563;60006541;60033020;60103563;60103563;60006448;60019870;60006541,2023-12-01,December 2023,Journal of Big Data,,21100791292.0,21961115,Journal,10,1,39,,"Oral cancer may arise from oral leukoplakia and oral lichenoid mucositis (oral lichen planus and oral lichenoid lesions) subtypes of oral potentially malignant disorders. As not all patients will develop oral cancer in their lifetime, the availability of malignant transformation predictive platforms would assist in the individualized treatment planning and formulation of optimal follow-up regimens for these patients. Therefore, this study aims to compare and select optimal machine learning (ML)-based models for stratifying the malignant transformation status of patients with oral leukoplakia and oral lichenoid mucositis. One thousand one hundred and eighty-seven patients with oral leukoplakia and oral lichenoid mucositis treated at three tertiary health institutions in Hong Kong, Newcastle UK, and Lagos Nigeria were included in the study. Demographic, clinical, pathological, and treatment-based factors obtained at diagnosis and during follow-up were used to populate and compare forty-six machine learning-based models. These were implemented as a set of twenty-six predictors for centers with substantial data quantity and fifteen predictors for centers with insufficient data. Two best models were selected according to the number of variables. We found that the optimal ML-based risk models with twenty-six and fifteen predictors achieved an accuracy of 97% and 94% respectively following model testing. Upon external validation, both models achieved a sensitivity, specificity, and F1-score of 1, 0.88, and 0.67 on consecutive patients treated after the construction of the models. Furthermore, the 15-predictor ML model for centers with reduced data achieved a higher sensitivity for identifying oral leukoplakia and oral lichenoid mucositis patients that developed malignancies in other treatment settings compared to the binary oral epithelial dysplasia system for risk stratification (0.96 vs 0.82). These findings suggest that machine learning-based models could be useful potentially to stratify patients with oral leukoplakia and oral lichenoid mucositis according to their risk of malignant transformation in different settings.",Artificial intelligence | Machine learning | Oral cancer | Oral leukoplakia | Oral lichen planus | Oral lichenoid lesions | Oral potentially malignant disorders,0,1,,,,undefined,
